Main - E1,Main - E2,Main - E3
3.886120820609171,3.6545279602378797,3.57106667207536
3.881027568416445,3.6464944460127215,3.576598440583333
3.888466111045472,3.663708691363621,3.5777774631670454
3.891854985207389,3.668034942837868,3.576696718155852
3.8916807100936714,3.6694597755789324,3.5778248974224782
3.890274824402046,3.6700250809101953,3.5792514696093867
3.8906263118336106,3.6711705187313237,3.5814987189973415
3.899382323888253,3.6727540333392503,3.5810311856384596
3.8880800869970438,3.673476954913741,3.5822756677785152
3.895804967237249,3.672516379290287,3.5779548083840766
3.899339807892308,3.6699728725870187,3.5803660111397013
3.8984307928376283,3.6698708569663836,3.583157185490235
3.8939471620167483,3.6693049465154894,3.5820634644595053
3.89245714981906,3.666003976423956,3.586140644780651
3.8918576290390674,3.671252550149478,3.5856280029940613
3.8947306968592272,3.674225934163173,3.585882118633717
3.8903442993640405,3.6732882343193674,3.580392025299809
3.8989899335934823,3.673836176538886,3.5830162101848018
3.900255666992308,3.675739575081522,3.5862919663338437
3.90142006756457,3.6720222819708797,3.580951261691655
3.9000836357178104,3.6778360975195477,3.5821321077394
3.904260239180296,3.658241665671453,3.5836237820448913
3.9054033490714284,3.668684273049075,3.582872194649437
3.9048558555403936,3.668851962262643,3.5756838515560774
3.904692100169805,3.67164362738495,3.5873403756360824
